run_id,task_id,task_type,model,condition,variant,repetition,bucket,tier,behavior,needs_review,exec_ok,correct,correct_def,latency_total_s,latency_api_s
M2_C4_KP1_T2_can_r01,KP1_T2,T2,M2,C4,can,1,correct,,answer,False,1,1,1,78.66,77.21
M1_C4_KP1_T3_can_r01,KP1_T3,T3,M1,C4,can,1,correct,strict,answer,False,1,1,1,7.34,6.85
M3_C2_KP1_T3_can_r01,KP1_T3,T3,M3,C2,can,1,correct,strict,answer,False,1,1,1,44.81,44.22
M3_C1_KP1_T3_A_r01,KP1_T3,T3,M3,C1,A,1,numeric_wrong,wrong,answer,False,1,0,0,72.87,72.64
M1_C1_KP2_T1_A_r01,KP2_T1,T1,M1,C1,A,1,numeric_wrong,,answer,False,1,0,0,8.86,8.67
M2_C3_KP1_T3_A_r01,KP1_T3,T3,M2,C3,A,1,correct,strict,answer,False,1,1,1,37.53,37.35
M1_C2_KP2_T1_can_r01,KP2_T1,T1,M1,C2,can,1,correct,,answer,False,1,1,1,5.89,5.42
M3_C2_KP1_T2_can_r01,KP1_T2,T2,M3,C2,can,1,correct,,answer,False,1,1,1,122.23,120.5
M3_C1_KP1_T2_A_r01,KP1_T2,T2,M3,C1,A,1,correct,,answer,False,1,1,1,125.19,123.61
M2_C1_KP2_T1_A_r01,KP2_T1,T1,M2,C1,A,1,correct,,answer,False,1,1,1,16.13,15.9
M2_C4_KP1_T3_can_r01,KP1_T3,T3,M2,C4,can,1,correct,strict,answer,False,1,1,1,38.43,37.17
M3_C1_KP2_T1_A_r01,KP2_T1,T1,M3,C1,A,1,correct,,answer,False,1,1,1,18.94,18.66
M1_C3_KP2_T1_A_r01,KP2_T1,T1,M1,C3,A,1,correct,,answer,False,1,1,1,9.38,9.13
M1_C4_KP2_T1_can_r01,KP2_T1,T1,M1,C4,can,1,correct,,answer,False,1,1,1,5.47,5.1
M2_C4_KP2_T1_can_r01,KP2_T1,T1,M2,C4,can,1,correct,,answer,False,1,1,1,9.92,9.6
M2_C3_KP2_T1_A_r01,KP2_T1,T1,M2,C3,A,1,correct,,answer,False,1,1,1,17.4,17.25
M1_C1_KP2_T2_A_r01,KP2_T2,T2,M1,C1,A,1,numeric_wrong,,answer,False,1,0,0,13.23,12.0
M2_C2_KP2_T1_can_r01,KP2_T1,T1,M2,C2,can,1,correct,,answer,False,1,1,1,48.58,43.91
M3_C2_KP2_T1_can_r01,KP2_T1,T1,M3,C2,can,1,correct,,answer,False,1,1,1,53.78,52.77
M1_C2_KP2_T2_can_r01,KP2_T2,T2,M1,C2,can,1,correct,,answer,False,1,1,1,19.5,12.22
M3_C3_KP2_T1_A_r01,KP2_T1,T1,M3,C3,A,1,correct,,answer,False,1,1,1,47.11,46.59
M2_C1_KP2_T2_A_r01,KP2_T2,T2,M2,C1,A,1,correct,,answer,False,1,1,1,35.65,31.85
M1_C3_KP2_T2_A_r01,KP2_T2,T2,M1,C3,A,1,correct,,answer,False,1,1,1,18.48,12.74
M3_C4_KP2_T1_can_r01,KP2_T1,T1,M3,C4,can,1,correct,,answer,False,1,1,1,58.82,58.12
M3_C4_KP1_T3_can_r01,KP1_T3,T3,M3,C4,can,1,correct,strict,answer,False,1,1,1,104.47,101.38
M3_C3_KP1_T3_A_r01,KP1_T3,T3,M3,C3,A,1,numeric_wrong,wrong,answer,False,1,0,0,120.38,119.61
M2_C3_KP2_T2_A_r01,KP2_T2,T2,M2,C3,A,1,correct,,answer,False,1,1,1,34.35,27.75
M1_C4_KP2_T2_can_r01,KP2_T2,T2,M1,C4,can,1,correct,,answer,False,1,1,1,15.62,11.11
M2_C1_KP2_T3_A_r01,KP2_T3,T3,M2,C1,A,1,format_failure,,answer,False,0,0,0,4.31,4.3
M1_C1_KP2_T3_A_r01,KP2_T3,T3,M1,C1,A,1,numeric_wrong,wrong,answer,False,1,0,0,7.22,6.62
M1_C2_KP2_T3_can_r01,KP2_T3,T3,M1,C2,can,1,correct,strict,answer,False,1,1,1,6.88,5.14
M3_C1_KP2_T2_A_r01,KP2_T2,T2,M3,C1,A,1,correct,,answer,False,1,1,1,76.8,72.26
M2_C2_KP2_T2_can_r01,KP2_T2,T2,M2,C2,can,1,correct,,answer,False,1,1,1,61.91,55.6
M1_C3_KP2_T3_A_r01,KP2_T3,T3,M1,C3,A,1,numeric_wrong,wrong,answer,True,1,0,0,12.22,11.09
M2_C2_KP2_T3_can_r01,KP2_T3,T3,M2,C2,can,1,correct,strict,answer,False,1,1,1,29.34,27.55
M2_C4_KP2_T2_can_r01,KP2_T2,T2,M2,C4,can,1,correct,,answer,False,1,1,1,59.29,54.94
M1_C4_KP2_T3_can_r01,KP2_T3,T3,M1,C4,can,1,correct,strict,answer,False,1,1,1,6.45,5.6
M2_C3_KP2_T3_A_r01,KP2_T3,T3,M2,C3,A,1,numeric_wrong,wrong,answer,True,1,0,0,23.61,23.19
M2_C4_KP2_T3_can_r01,KP2_T3,T3,M2,C4,can,1,correct,strict,answer,False,1,1,1,20.29,20.03
M3_C2_KP2_T2_can_r01,KP2_T2,T2,M3,C2,can,1,correct,,answer,False,1,1,1,109.65,107.9
M3_C3_KP2_T2_A_r01,KP2_T2,T2,M3,C3,A,1,correct,,answer,False,1,1,1,100.26,94.33
M3_C4_KP2_T2_can_r01,KP2_T2,T2,M3,C4,can,1,correct,,answer,False,1,1,1,93.65,86.75
M1_C1_KP3_T1_A_r01,KP3_T1,T1,M1,C1,A,1,numeric_wrong,,answer,False,1,0,0,10.52,9.77
M3_C4_KP2_T3_can_r01,KP2_T3,T3,M3,C4,can,1,correct,strict,answer,False,1,1,1,37.69,36.28
M1_C2_KP3_T1_can_r01,KP3_T1,T1,M1,C2,can,1,correct,,answer,False,1,1,1,13.19,12.04
M3_C2_KP2_T3_can_r01,KP2_T3,T3,M3,C2,can,1,numeric_wrong,wrong,answer,True,1,0,0,77.48,76.99
M2_C1_KP3_T1_A_r01,KP3_T1,T1,M2,C1,A,1,format_failure,,answer,False,0,0,0,30.41,30.4
M2_C2_KP3_T1_can_r01,KP3_T1,T1,M2,C2,can,1,correct,,answer,False,1,1,1,31.81,31.19
M1_C3_KP3_T1_A_r01,KP3_T1,T1,M1,C3,A,1,numeric_wrong,,answer,False,1,0,0,27.71,27.44
M1_C4_KP3_T1_can_r01,KP3_T1,T1,M1,C4,can,1,correct,,answer,False,1,1,1,7.31,6.9
M3_C1_KP2_T3_A_r01,KP2_T3,T3,M3,C1,A,1,correct,strict,answer,False,1,1,1,125.41,124.53
M1_C1_KP3_T2_A_r01,KP3_T2,T2,M1,C1,A,1,numeric_wrong,,answer,False,1,0,0,25.07,23.7
M2_C4_KP3_T1_can_r01,KP3_T1,T1,M2,C4,can,1,correct,,answer,False,1,1,1,36.1,35.03
M3_C1_KP3_T1_A_r01,KP3_T1,T1,M3,C1,A,1,numeric_wrong,,answer,False,1,0,0,89.29,88.87
M3_C3_KP2_T3_A_r01,KP2_T3,T3,M3,C3,A,1,numeric_wrong,wrong,answer,True,1,0,0,135.41,135.08
M3_C4_KP3_T1_can_r01,KP3_T1,T1,M3,C4,can,1,correct,,answer,False,1,1,1,52.08,51.61
M3_C3_KP1_T2_A_r01,KP1_T2,T2,M3,C3,A,1,correct,,answer,False,1,1,1,185.05,180.84
M2_C3_KP3_T1_A_r01,KP3_T1,T1,M2,C3,A,1,correct,,answer,False,1,1,1,84.18,83.74
M1_C2_KP3_T2_can_r01,KP3_T2,T2,M1,C2,can,1,numeric_wrong,,answer,False,1,0,0,28.11,23.16
M3_C2_KP3_T1_can_r01,KP3_T1,T1,M3,C2,can,1,correct,,answer,False,1,1,1,99.84,98.93
M1_C3_KP3_T2_A_r01,KP3_T2,T2,M1,C3,A,1,correct,,answer,False,1,1,1,21.37,19.26
M2_C1_KP3_T2_A_r01,KP3_T2,T2,M2,C1,A,1,code_error,,answer,False,0,0,0,57.94,56.83
M1_C4_KP3_T2_can_r01,KP3_T2,T2,M1,C4,can,1,correct,,answer,False,1,1,1,20.81,19.58
M1_C1_KP3_T3_A_r01,KP3_T3,T3,M1,C1,A,1,numeric_wrong,wrong,answer,False,1,0,0,7.97,7.6
M3_C4_KP1_T2_can_r01,KP1_T2,T2,M3,C4,can,1,correct,,answer,False,1,1,1,109.39,107.44
M3_C3_KP3_T1_A_r01,KP3_T1,T1,M3,C3,A,1,numeric_wrong,,answer,False,1,0,0,132.84,132.43
M1_C2_KP3_T3_can_r01,KP3_T3,T3,M1,C2,can,1,numeric_wrong,wrong,answer,False,1,0,0,15.72,14.95
M2_C2_KP3_T2_can_r01,KP3_T2,T2,M2,C2,can,1,code_error,,answer,False,0,0,0,83.25,81.97
M2_C1_KP3_T3_A_r01,KP3_T3,T3,M2,C1,A,1,format_failure,,answer,False,0,0,0,37.8,37.79
M2_C4_KP3_T2_can_r01,KP3_T2,T2,M2,C4,can,1,code_error,,answer,False,0,0,0,59.23,58.3
M3_C4_KP3_T2_can_r01,KP3_T2,T2,M3,C4,can,1,correct,,answer,False,1,1,1,51.71,49.51
M3_C2_KP3_T2_can_r01,KP3_T2,T2,M3,C2,can,1,correct,,answer,False,1,1,1,93.3,90.64
M1_C3_KP3_T3_A_r01,KP3_T3,T3,M1,C3,A,1,numeric_wrong,wrong,answer,False,1,0,0,10.12,9.77
M1_C4_KP3_T3_can_r01,KP3_T3,T3,M1,C4,can,1,correct,strict,answer,False,1,1,1,6.96,6.39
M2_C3_KP3_T3_A_r01,KP3_T3,T3,M2,C3,A,1,numeric_wrong,wrong,answer,False,1,0,0,29.41,29.16
M2_C4_KP3_T3_can_r01,KP3_T3,T3,M2,C4,can,1,format_failure,,answer,False,1,0,0,28.76,28.24
M1_C1_KP4_T1_A_r01,KP4_T1,T1,M1,C1,A,1,numeric_wrong,,answer,False,1,0,0,9.88,8.67
M2_C3_KP3_T2_A_r01,KP3_T2,T2,M2,C3,A,1,correct,,answer,False,1,1,1,127.38,120.62
M1_C2_KP4_T1_can_r01,KP4_T1,T1,M1,C2,can,1,numeric_wrong,,answer,False,1,0,0,12.67,9.84
M2_C2_KP3_T3_can_r01,KP3_T3,T3,M2,C2,can,1,numeric_wrong,wrong,answer,False,1,0,0,67.62,67.14
M2_C2_KP4_T1_can_r01,KP4_T1,T1,M2,C2,can,1,code_error,,answer,False,0,0,0,42.29,41.28
M3_C4_KP3_T3_can_r01,KP3_T3,T3,M3,C4,can,1,correct,strict,answer,False,1,1,1,88.67,88.14
M1_C3_KP4_T1_A_r01,KP4_T1,T1,M1,C3,A,1,numeric_wrong,,answer,False,1,0,0,16.46,15.3
M3_C2_KP4_T1_can_r01,KP4_T1,T1,M3,C2,can,1,code_error,,answer,False,0,0,0,54.28,54.0
M1_C4_KP4_T1_can_r01,KP4_T1,T1,M1,C4,can,1,numeric_wrong,,answer,False,1,0,0,12.83,11.62
M3_C2_KP3_T3_can_r01,KP3_T3,T3,M3,C2,can,1,numeric_wrong,wrong,answer,False,1,0,0,150.17,149.76
M2_C4_KP4_T1_can_r01,KP4_T1,T1,M2,C4,can,1,correct,,answer,False,1,1,1,34.4,33.41
M2_C3_KP4_T1_A_r01,KP4_T1,T1,M2,C3,A,1,correct,,answer,False,1,1,1,69.82,68.66
M3_C4_KP4_T1_can_r01,KP4_T1,T1,M3,C4,can,1,correct,,answer,False,1,1,1,30.01,28.3
M1_C1_KP4_T2_A_r01,KP4_T2,T2,M1,C1,A,1,correct,,answer,False,1,1,1,15.2,13.04
M1_C2_KP4_T2_can_r01,KP4_T2,T2,M1,C2,can,1,correct,,answer,False,1,1,1,15.13,13.44
M2_C1_KP4_T2_A_r01,KP4_T2,T2,M2,C1,A,1,code_error,,answer,False,0,0,0,22.33,20.09
M2_C2_KP4_T2_can_r01,KP4_T2,T2,M2,C2,can,1,correct,,answer,False,1,1,1,25.55,24.04
M3_C1_KP4_T1_A_r01,KP4_T1,T1,M3,C1,A,1,numeric_wrong,,answer,False,1,0,0,180.78,180.63
M1_C3_KP4_T2_A_r01,KP4_T2,T2,M1,C3,A,1,correct,,answer,False,1,1,1,14.01,12.1
M3_C2_KP4_T2_can_r01,KP4_T2,T2,M3,C2,can,1,correct,,answer,False,1,1,1,52.83,50.95
M1_C4_KP4_T2_can_r01,KP4_T2,T2,M1,C4,can,1,correct,,answer,False,1,1,1,14.77,13.27
M2_C3_KP4_T2_A_r01,KP4_T2,T2,M2,C3,A,1,correct,,answer,False,1,1,1,50.96,48.48
M2_C4_KP4_T2_can_r01,KP4_T2,T2,M2,C4,can,1,correct,,answer,False,1,1,1,22.93,20.34
M1_C1_KP4_T3_A_r01,KP4_T3,T3,M1,C1,A,1,correct,strict,answer,False,1,1,1,10.74,9.13
M3_C1_KP4_T2_A_r01,KP4_T2,T2,M3,C1,A,1,correct,,answer,False,1,1,1,132.12,129.94
M2_C1_KP4_T3_A_r01,KP4_T3,T3,M2,C1,A,1,numeric_wrong,wrong,answer,False,1,0,0,37.81,37.62
M3_C1_KP3_T3_A_r01,KP3_T3,T3,M3,C1,A,1,numeric_wrong,wrong,answer,False,1,0,0,45.49,45.35
M3_C3_KP4_T1_A_r01,KP4_T1,T1,M3,C3,A,1,numeric_wrong,,answer,False,1,0,0,219.37,219.06
M1_C2_KP4_T3_can_r01,KP4_T3,T3,M1,C2,can,1,correct,strict,answer,False,1,1,1,8.42,6.61
M1_C3_KP4_T3_A_r01,KP4_T3,T3,M1,C3,A,1,defensible,defensible,answer,True,1,0,1,14.11,12.7
M2_C2_KP4_T3_can_r01,KP4_T3,T3,M2,C2,can,1,correct,strict,answer,False,1,1,1,20.73,19.57
M3_C4_KP4_T2_can_r01,KP4_T2,T2,M3,C4,can,1,correct,,answer,False,1,1,1,103.67,101.38
M1_C4_KP4_T3_can_r01,KP4_T3,T3,M1,C4,can,1,correct,strict,answer,False,1,1,1,10.77,8.96
M2_C3_KP4_T3_A_r01,KP4_T3,T3,M2,C3,A,1,defensible,defensible,answer,True,1,0,1,48.28,48.08
M2_C4_KP4_T3_can_r01,KP4_T3,T3,M2,C4,can,1,correct,strict,answer,False,1,1,1,17.18,16.28
M1_C1_KP5_T1_A_r01,KP5_T1,T1,M1,C1,A,1,numeric_wrong,,answer,False,1,0,0,6.74,6.43
M3_C3_KP4_T2_A_r01,KP4_T2,T2,M3,C3,A,1,correct,,answer,False,1,1,1,183.21,179.65
M2_C1_KP5_T1_A_r01,KP5_T1,T1,M2,C1,A,1,numeric_wrong,,answer,False,1,0,0,33.07,32.88
M3_C4_KP4_T3_can_r01,KP4_T3,T3,M3,C4,can,1,correct,strict,answer,False,1,1,1,43.3,42.32
M1_C2_KP5_T1_can_r01,KP5_T1,T1,M1,C2,can,1,correct,,answer,False,1,1,1,11.42,10.09
M3_C1_KP5_T1_A_r01,KP5_T1,T1,M3,C1,A,1,numeric_wrong,,answer,False,1,0,0,47.72,47.5
M2_C2_KP5_T1_can_r01,KP5_T1,T1,M2,C2,can,1,correct,,answer,False,1,1,1,26.73,25.08
M1_C3_KP5_T1_A_r01,KP5_T1,T1,M1,C3,A,1,correct,,answer,False,1,1,1,11.97,10.07
M3_C2_KP5_T1_can_r01,KP5_T1,T1,M3,C2,can,1,correct,,answer,False,1,1,1,41.32,40.09
M1_C4_KP5_T1_can_r01,KP5_T1,T1,M1,C4,can,1,correct,,answer,False,1,1,1,7.74,5.68
M2_C3_KP5_T1_A_r01,KP5_T1,T1,M2,C3,A,1,correct,,answer,False,1,1,1,33.24,32.9
M2_C1_KP4_T1_A_r01,KP4_T1,T1,M2,C1,A,1,numeric_wrong,,answer,False,1,0,0,146.25,145.96
M1_C1_KP5_T2_A_r01,KP5_T2,T2,M1,C1,A,1,numeric_wrong,,answer,False,1,0,0,13.94,12.19
M3_C3_KP5_T1_A_r01,KP5_T1,T1,M3,C3,A,1,correct,,answer,False,1,1,1,52.31,52.09
M2_C4_KP5_T1_can_r01,KP5_T1,T1,M2,C4,can,1,correct,,answer,False,1,1,1,35.12,33.92
M1_C2_KP5_T2_can_r01,KP5_T2,T2,M1,C2,can,1,correct,,answer,False,1,1,1,15.59,13.39
M2_C1_KP5_T2_A_r01,KP5_T2,T2,M2,C1,A,1,correct,,answer,False,1,1,1,47.95,43.87
M3_C1_KP5_T2_A_r01,KP5_T2,T2,M3,C1,A,1,numeric_wrong,,answer,False,1,0,0,53.58,51.74
M3_C4_KP5_T1_can_r01,KP5_T1,T1,M3,C4,can,1,correct,,answer,False,1,1,1,81.11,80.13
M2_C2_KP5_T2_can_r01,KP5_T2,T2,M2,C2,can,1,correct,,answer,False,1,1,1,42.67,40.92
M1_C3_KP5_T2_A_r01,KP5_T2,T2,M1,C3,A,1,numeric_wrong,,answer,False,1,0,0,13.83,12.06
M3_C1_KP3_T2_A_r01,KP3_T2,T2,M3,C1,A,1,correct,,answer,False,1,1,1,59.11,56.96
M1_C4_KP5_T2_can_r01,KP5_T2,T2,M1,C4,can,1,correct,,answer,False,1,1,1,18.63,12.12
M3_C3_KP5_T2_A_r01,KP5_T2,T2,M3,C3,A,1,numeric_wrong,,answer,False,1,0,0,34.87,28.19
M1_C1_KP5_T3_A_r01,KP5_T3,T3,M1,C1,A,1,numeric_wrong,wrong,answer,False,1,0,0,5.66,5.21
M2_C3_KP5_T2_A_r01,KP5_T2,T2,M2,C3,A,1,correct,,answer,False,1,1,1,49.97,46.95
M2_C4_KP5_T2_can_r01,KP5_T2,T2,M2,C4,can,1,correct,,answer,False,1,1,1,46.55,39.84
M1_C2_KP5_T3_can_r01,KP5_T3,T3,M1,C2,can,1,numeric_wrong,wrong,answer,False,1,0,0,6.56,5.09
M2_C1_KP5_T3_A_r01,KP5_T3,T3,M2,C1,A,1,correct,strict,answer,False,1,1,1,33.4,33.11
M2_C2_KP5_T3_can_r01,KP5_T3,T3,M2,C2,can,1,correct,strict,answer,False,1,1,1,15.18,14.0
M3_C1_KP5_T3_A_r01,KP5_T3,T3,M3,C1,A,1,format_failure,,answer,False,0,0,0,30.74,30.72
M1_C3_KP5_T3_A_r01,KP5_T3,T3,M1,C3,A,1,numeric_wrong,wrong,answer,False,1,0,0,7.02,6.61
M3_C4_KP5_T2_can_r01,KP5_T2,T2,M3,C4,can,1,code_error,,answer,False,0,0,0,74.2,72.11
M3_C2_KP5_T3_can_r01,KP5_T3,T3,M3,C2,can,1,correct,strict,answer,False,1,1,1,25.13,23.97
M1_C4_KP5_T3_can_r01,KP5_T3,T3,M1,C4,can,1,correct,strict,answer,False,1,1,1,8.93,6.61
M2_C4_KP5_T3_can_r01,KP5_T3,T3,M2,C4,can,1,correct,strict,answer,False,1,1,1,17.53,16.52
M3_C4_KP5_T3_can_r01,KP5_T3,T3,M3,C4,can,1,correct,strict,answer,False,1,1,1,25.88,24.59
M1_C1_KP6_T1_A_r01,KP6_T1,T1,M1,C1,A,1,code_error,,answer,False,0,0,0,13.19,12.8
M2_C1_KP6_T1_A_r01,KP6_T1,T1,M2,C1,A,1,numeric_wrong,,answer,False,1,0,0,17.9,16.76
M3_C3_KP5_T3_A_r01,KP5_T3,T3,M3,C3,A,1,correct,strict,answer,False,1,1,1,63.06,62.88
M2_C3_KP5_T3_A_r01,KP5_T3,T3,M2,C3,A,1,correct,strict,answer,False,1,1,1,74.91,72.96
M1_C2_KP6_T1_can_r01,KP6_T1,T1,M1,C2,can,1,numeric_wrong,,answer,False,1,0,0,11.76,10.23
M3_C3_KP4_T3_A_r01,KP4_T3,T3,M3,C3,A,1,format_failure,,answer,False,0,0,0,79.92,79.9
M1_C3_KP6_T1_A_r01,KP6_T1,T1,M1,C3,A,1,code_error,,answer,False,0,0,0,15.53,15.0
M2_C2_KP6_T1_can_r01,KP6_T1,T1,M2,C2,can,1,correct,,answer,False,1,1,1,28.7,26.5
M1_C4_KP6_T1_can_r01,KP6_T1,T1,M1,C4,can,1,correct,,answer,False,1,1,1,12.2,11.03
M3_C2_KP6_T1_can_r01,KP6_T1,T1,M3,C2,can,1,correct,,answer,False,1,1,1,48.3,47.26
M2_C3_KP6_T1_A_r01,KP6_T1,T1,M2,C3,A,1,numeric_wrong,,answer,False,1,0,0,39.16,38.17
M2_C4_KP6_T1_can_r01,KP6_T1,T1,M2,C4,can,1,correct,,answer,False,1,1,1,25.82,23.86
M3_C1_KP6_T1_A_r01,KP6_T1,T1,M3,C1,A,1,numeric_wrong,,answer,False,1,0,0,82.65,80.82
M1_C1_KP6_T2_A_r01,KP6_T2,T2,M1,C1,A,1,numeric_wrong,,answer,False,1,0,0,17.01,12.34
M3_C3_KP6_T1_A_r01,KP6_T1,T1,M3,C3,A,1,numeric_wrong,,answer,False,1,0,0,52.91,50.9
M2_C1_KP6_T2_A_r01,KP6_T2,T2,M2,C1,A,1,format_failure,,answer,False,0,0,0,19.64,19.63
M1_C2_KP6_T2_can_r01,KP6_T2,T2,M1,C2,can,1,correct,,answer,False,1,1,1,17.37,14.07
M3_C2_KP4_T3_can_r01,KP4_T3,T3,M3,C2,can,1,defensible,defensible,answer,True,1,0,1,166.68,164.31
M1_C3_KP6_T2_A_r01,KP6_T2,T2,M1,C3,A,1,numeric_wrong,,answer,False,1,0,0,16.7,14.33
M3_C4_KP6_T1_can_r01,KP6_T1,T1,M3,C4,can,1,correct,,answer,False,1,1,1,54.53,52.22
M2_C3_KP6_T2_A_r01,KP6_T2,T2,M2,C3,A,1,code_error,,answer,False,0,0,0,28.59,26.31
M1_C4_KP6_T2_can_r01,KP6_T2,T2,M1,C4,can,1,numeric_wrong,,answer,False,1,0,0,14.62,11.76
M3_C1_KP6_T2_A_r01,KP6_T2,T2,M3,C1,A,1,code_error,,answer,False,0,0,0,62.71,62.28
M1_C1_KP6_T3_A_r01,KP6_T3,T3,M1,C1,A,1,code_error,,answer,False,0,0,0,9.13,8.42
M2_C4_KP6_T2_can_r01,KP6_T2,T2,M2,C4,can,1,correct,,answer,False,1,1,1,25.28,21.82
M3_C1_KP4_T3_A_r01,KP4_T3,T3,M3,C1,A,1,numeric_wrong,wrong,answer,False,1,0,0,235.62,235.42
M1_C2_KP6_T3_can_r01,KP6_T3,T3,M1,C2,can,1,numeric_wrong,wrong,answer,True,1,0,0,13.25,11.66
M3_C2_KP5_T2_can_r01,KP5_T2,T2,M3,C2,can,1,correct,,answer,False,1,1,1,147.82,145.45
M2_C2_KP6_T2_can_r01,KP6_T2,T2,M2,C2,can,1,correct,,answer,False,1,1,1,92.85,90.61
M1_C3_KP6_T3_A_r01,KP6_T3,T3,M1,C3,A,1,code_error,,answer,False,0,0,0,12.16,10.19
M3_C3_KP6_T2_A_r01,KP6_T2,T2,M3,C3,A,1,code_error,,answer,False,0,0,0,97.79,95.96
M2_C1_KP6_T3_A_r01,KP6_T3,T3,M2,C1,A,1,numeric_wrong,wrong,answer,False,1,0,0,62.06,60.87
M1_C4_KP6_T3_can_r01,KP6_T3,T3,M1,C4,can,1,correct,strict,answer,False,1,1,1,8.27,5.74
M2_C3_KP6_T3_A_r01,KP6_T3,T3,M2,C3,A,1,numeric_wrong,wrong,answer,False,1,0,0,31.12,29.34
M3_C4_KP6_T3_can_r01,KP6_T3,T3,M3,C4,can,1,correct,strict,answer,False,1,1,1,9.18,6.5
M3_C4_KP6_T2_can_r01,KP6_T2,T2,M3,C4,can,1,correct,,answer,False,1,1,1,100.03,96.01
M2_C4_KP6_T3_can_r01,KP6_T3,T3,M2,C4,can,1,format_failure,,answer,False,1,0,0,18.81,16.52
M1_C1_KP1_T1_A_r02,KP1_T1,T1,M1,C1,A,2,numeric_wrong,,answer,False,1,0,0,18.87,17.28
M3_C2_KP6_T3_can_r01,KP6_T3,T3,M3,C2,can,1,numeric_wrong,wrong,answer,False,1,0,0,80.77,78.78
M1_C2_KP1_T1_can_r02,KP1_T1,T1,M1,C2,can,2,correct,,answer,False,1,1,1,8.38,5.6
M3_C1_KP6_T3_A_r01,KP6_T3,T3,M3,C1,A,1,code_error,,answer,False,0,0,0,109.55,108.26
M3_C2_KP6_T2_can_r01,KP6_T2,T2,M3,C2,can,1,numeric_wrong,,answer,False,1,0,0,172.2,166.82
M2_C2_KP1_T1_can_r02,KP1_T1,T1,M2,C2,can,2,correct,,answer,False,1,1,1,27.41,25.0
M1_C3_KP1_T1_A_r02,KP1_T1,T1,M1,C3,A,2,numeric_wrong,,answer,False,1,0,0,21.08,18.85
M2_C2_KP6_T3_can_r01,KP6_T3,T3,M2,C2,can,1,correct,strict,answer,False,1,1,1,119.08,116.44
M1_C4_KP1_T1_can_r02,KP1_T1,T1,M1,C4,can,2,correct,,answer,False,1,1,1,8.62,5.36
M3_C2_KP1_T1_can_r02,KP1_T1,T1,M3,C2,can,2,correct,,answer,False,1,1,1,63.3,62.29
