run_id,experiment,task_id,variant,temperature,rep,exec_ok,correct,correct_def,bucket,tier,latency_api_s,model
ablation_KP2_T3_minus_convention_tNone_r04,ablation,KP2_T3,minus_convention,,4,1,1,1,correct,strict,4.21,deepseek-chat
ablation_KP2_T3_minus_convention_tNone_r05,ablation,KP2_T3,minus_convention,,5,1,1,1,correct,strict,2.61,deepseek-chat
ablation_KP2_T3_C4_full_tNone_r01,ablation,KP2_T3,C4_full,,1,1,1,1,correct,strict,4.78,deepseek-chat
ablation_KP2_T3_C4_full_tNone_r02,ablation,KP2_T3,C4_full,,2,1,1,1,correct,strict,5.8,deepseek-chat
ablation_KP2_T3_C4_full_tNone_r03,ablation,KP2_T3,C4_full,,3,1,1,1,correct,strict,1.88,deepseek-chat
ablation_KP2_T3_C4_full_tNone_r04,ablation,KP2_T3,C4_full,,4,1,1,1,correct,strict,2.49,deepseek-chat
ablation_KP2_T3_C4_full_tNone_r05,ablation,KP2_T3,C4_full,,5,1,1,1,correct,strict,3.52,deepseek-chat
ablation_KP3_T1_C1_tNone_r01,ablation,KP3_T1,C1,,1,1,0,0,numeric_wrong,,15.45,deepseek-chat
ablation_KP3_T1_C1_tNone_r02,ablation,KP3_T1,C1,,2,1,0,0,numeric_wrong,,13.79,deepseek-chat
ablation_KP3_T1_C1_tNone_r03,ablation,KP3_T1,C1,,3,1,0,0,numeric_wrong,,13.48,deepseek-chat
ablation_KP3_T1_C1_tNone_r04,ablation,KP3_T1,C1,,4,1,0,0,numeric_wrong,,11.78,deepseek-chat
ablation_KP3_T1_C1_tNone_r05,ablation,KP3_T1,C1,,5,1,0,0,numeric_wrong,,14.59,deepseek-chat
ablation_KP3_T1_contract_only_tNone_r01,ablation,KP3_T1,contract_only,,1,1,1,1,correct,,9.47,deepseek-chat
ablation_KP3_T1_contract_only_tNone_r02,ablation,KP3_T1,contract_only,,2,1,1,1,correct,,8.34,deepseek-chat
ablation_KP3_T1_contract_only_tNone_r03,ablation,KP3_T1,contract_only,,3,1,0,0,numeric_wrong,,7.52,deepseek-chat
ablation_KP3_T1_contract_only_tNone_r04,ablation,KP3_T1,contract_only,,4,1,1,1,correct,,10.95,deepseek-chat
ablation_KP3_T1_contract_only_tNone_r05,ablation,KP3_T1,contract_only,,5,1,1,1,correct,,9.14,deepseek-chat
ablation_KP3_T1_minus_scaffold_tNone_r01,ablation,KP3_T1,minus_scaffold,,1,0,0,0,code_error,,5.97,deepseek-chat
ablation_KP3_T1_minus_scaffold_tNone_r02,ablation,KP3_T1,minus_scaffold,,2,0,0,0,code_error,,10.99,deepseek-chat
ablation_KP3_T1_minus_scaffold_tNone_r03,ablation,KP3_T1,minus_scaffold,,3,0,0,0,code_error,,6.08,deepseek-chat
ablation_KP3_T1_minus_scaffold_tNone_r04,ablation,KP3_T1,minus_scaffold,,4,0,0,0,code_error,,9.25,deepseek-chat
ablation_KP3_T1_minus_scaffold_tNone_r05,ablation,KP3_T1,minus_scaffold,,5,0,0,0,code_error,,11.94,deepseek-chat
ablation_KP3_T1_minus_convention_tNone_r01,ablation,KP3_T1,minus_convention,,1,1,1,1,correct,,4.68,deepseek-chat
ablation_KP3_T1_minus_convention_tNone_r02,ablation,KP3_T1,minus_convention,,2,1,1,1,correct,,3.75,deepseek-chat
ablation_KP3_T1_minus_convention_tNone_r03,ablation,KP3_T1,minus_convention,,3,0,0,0,code_error,,8.95,deepseek-chat
ablation_KP3_T1_minus_convention_tNone_r04,ablation,KP3_T1,minus_convention,,4,1,1,1,correct,,4.02,deepseek-chat
ablation_KP3_T1_minus_convention_tNone_r05,ablation,KP3_T1,minus_convention,,5,1,1,1,correct,,4.24,deepseek-chat
ablation_KP3_T1_C4_full_tNone_r01,ablation,KP3_T1,C4_full,,1,1,1,1,correct,,3.88,deepseek-chat
ablation_KP3_T1_C4_full_tNone_r02,ablation,KP3_T1,C4_full,,2,0,0,0,code_error,,9.59,deepseek-chat
ablation_KP3_T1_C4_full_tNone_r03,ablation,KP3_T1,C4_full,,3,1,1,1,correct,,3.09,deepseek-chat
ablation_KP3_T1_C4_full_tNone_r04,ablation,KP3_T1,C4_full,,4,1,1,1,correct,,3.75,deepseek-chat
ablation_KP3_T1_C4_full_tNone_r05,ablation,KP3_T1,C4_full,,5,1,1,1,correct,,6.8,deepseek-chat
ablation_KP4_T1_C1_tNone_r01,ablation,KP4_T1,C1,,1,1,0,0,numeric_wrong,,6.15,deepseek-chat
ablation_KP4_T1_C1_tNone_r02,ablation,KP4_T1,C1,,2,1,0,0,numeric_wrong,,6.31,deepseek-chat
ablation_KP4_T1_C1_tNone_r03,ablation,KP4_T1,C1,,3,1,1,1,correct,,3.73,deepseek-chat
ablation_KP4_T1_C1_tNone_r04,ablation,KP4_T1,C1,,4,1,0,0,numeric_wrong,,9.0,deepseek-chat
ablation_KP4_T1_C1_tNone_r05,ablation,KP4_T1,C1,,5,1,0,0,numeric_wrong,,10.15,deepseek-chat
ablation_KP4_T1_contract_only_tNone_r01,ablation,KP4_T1,contract_only,,1,1,0,0,numeric_wrong,,4.0,deepseek-chat
ablation_KP4_T1_contract_only_tNone_r02,ablation,KP4_T1,contract_only,,2,1,1,1,correct,,6.37,deepseek-chat
ablation_KP4_T1_contract_only_tNone_r03,ablation,KP4_T1,contract_only,,3,1,1,1,correct,,7.58,deepseek-chat
ablation_KP4_T1_contract_only_tNone_r04,ablation,KP4_T1,contract_only,,4,1,1,1,correct,,4.45,deepseek-chat
ablation_KP4_T1_contract_only_tNone_r05,ablation,KP4_T1,contract_only,,5,1,1,1,correct,,4.44,deepseek-chat
ablation_KP4_T1_minus_scaffold_tNone_r01,ablation,KP4_T1,minus_scaffold,,1,1,1,1,correct,,3.3,deepseek-chat
ablation_KP4_T1_minus_scaffold_tNone_r02,ablation,KP4_T1,minus_scaffold,,2,1,1,1,correct,,4.32,deepseek-chat
ablation_KP4_T1_minus_scaffold_tNone_r03,ablation,KP4_T1,minus_scaffold,,3,1,1,1,correct,,3.18,deepseek-chat
ablation_KP4_T1_minus_scaffold_tNone_r04,ablation,KP4_T1,minus_scaffold,,4,1,1,1,correct,,3.52,deepseek-chat
ablation_KP4_T1_minus_scaffold_tNone_r05,ablation,KP4_T1,minus_scaffold,,5,1,1,1,correct,,2.87,deepseek-chat
ablation_KP4_T1_minus_convention_tNone_r01,ablation,KP4_T1,minus_convention,,1,1,1,1,correct,,5.19,deepseek-chat
ablation_KP4_T1_minus_convention_tNone_r02,ablation,KP4_T1,minus_convention,,2,1,1,1,correct,,2.95,deepseek-chat
ablation_KP4_T1_minus_convention_tNone_r03,ablation,KP4_T1,minus_convention,,3,1,1,1,correct,,2.73,deepseek-chat
ablation_KP4_T1_minus_convention_tNone_r04,ablation,KP4_T1,minus_convention,,4,1,1,1,correct,,2.93,deepseek-chat
ablation_KP4_T1_minus_convention_tNone_r05,ablation,KP4_T1,minus_convention,,5,1,1,1,correct,,3.43,deepseek-chat
ablation_KP4_T1_C4_full_tNone_r01,ablation,KP4_T1,C4_full,,1,1,1,1,correct,,3.94,deepseek-chat
ablation_KP4_T1_C4_full_tNone_r02,ablation,KP4_T1,C4_full,,2,1,1,1,correct,,2.75,deepseek-chat
ablation_KP4_T1_C4_full_tNone_r03,ablation,KP4_T1,C4_full,,3,1,1,1,correct,,2.55,deepseek-chat
ablation_KP4_T1_C4_full_tNone_r04,ablation,KP4_T1,C4_full,,4,1,1,1,correct,,2.89,deepseek-chat
ablation_KP4_T1_C4_full_tNone_r05,ablation,KP4_T1,C4_full,,5,1,1,1,correct,,2.47,deepseek-chat
ablation_KP5_T3_C1_tNone_r01,ablation,KP5_T3,C1,,1,0,0,0,format_failure,,1.47,deepseek-chat
ablation_KP5_T3_C1_tNone_r02,ablation,KP5_T3,C1,,2,1,0,0,numeric_wrong,wrong,2.34,deepseek-chat
ablation_KP5_T3_C1_tNone_r03,ablation,KP5_T3,C1,,3,1,0,0,numeric_wrong,wrong,2.24,deepseek-chat
ablation_KP5_T3_C1_tNone_r04,ablation,KP5_T3,C1,,4,1,0,0,numeric_wrong,wrong,3.4,deepseek-chat
ablation_KP5_T3_C1_tNone_r05,ablation,KP5_T3,C1,,5,1,0,0,numeric_wrong,wrong,2.01,deepseek-chat
ablation_KP5_T3_contract_only_tNone_r01,ablation,KP5_T3,contract_only,,1,1,1,1,correct,strict,3.7,deepseek-chat
ablation_KP5_T3_contract_only_tNone_r02,ablation,KP5_T3,contract_only,,2,1,1,1,correct,strict,4.58,deepseek-chat
ablation_KP5_T3_contract_only_tNone_r03,ablation,KP5_T3,contract_only,,3,1,1,1,correct,strict,3.96,deepseek-chat
ablation_KP5_T3_contract_only_tNone_r04,ablation,KP5_T3,contract_only,,4,1,1,1,correct,strict,4.59,deepseek-chat
ablation_KP5_T3_contract_only_tNone_r05,ablation,KP5_T3,contract_only,,5,1,1,1,correct,strict,2.66,deepseek-chat
ablation_KP5_T3_minus_scaffold_tNone_r01,ablation,KP5_T3,minus_scaffold,,1,1,1,1,correct,strict,2.72,deepseek-chat
ablation_KP5_T3_minus_scaffold_tNone_r02,ablation,KP5_T3,minus_scaffold,,2,1,1,1,correct,strict,2.29,deepseek-chat
ablation_KP5_T3_minus_scaffold_tNone_r03,ablation,KP5_T3,minus_scaffold,,3,1,1,1,correct,strict,3.67,deepseek-chat
ablation_KP5_T3_minus_scaffold_tNone_r04,ablation,KP5_T3,minus_scaffold,,4,1,1,1,correct,strict,2.67,deepseek-chat
ablation_KP5_T3_minus_scaffold_tNone_r05,ablation,KP5_T3,minus_scaffold,,5,1,1,1,correct,strict,2.83,deepseek-chat
ablation_KP5_T3_minus_convention_tNone_r01,ablation,KP5_T3,minus_convention,,1,1,1,1,correct,strict,2.16,deepseek-chat
ablation_KP5_T3_minus_convention_tNone_r02,ablation,KP5_T3,minus_convention,,2,1,1,1,correct,strict,3.21,deepseek-chat
ablation_KP5_T3_minus_convention_tNone_r03,ablation,KP5_T3,minus_convention,,3,1,1,1,correct,strict,2.01,deepseek-chat
ablation_KP5_T3_minus_convention_tNone_r04,ablation,KP5_T3,minus_convention,,4,1,0,0,numeric_wrong,wrong,2.99,deepseek-chat
ablation_KP5_T3_minus_convention_tNone_r05,ablation,KP5_T3,minus_convention,,5,1,1,1,correct,strict,2.1,deepseek-chat
ablation_KP5_T3_C4_full_tNone_r01,ablation,KP5_T3,C4_full,,1,1,1,1,correct,strict,2.66,deepseek-chat
ablation_KP5_T3_C4_full_tNone_r02,ablation,KP5_T3,C4_full,,2,1,1,1,correct,strict,2.56,deepseek-chat
ablation_KP5_T3_C4_full_tNone_r03,ablation,KP5_T3,C4_full,,3,1,1,1,correct,strict,1.93,deepseek-chat
ablation_KP5_T3_C4_full_tNone_r04,ablation,KP5_T3,C4_full,,4,1,1,1,correct,strict,2.59,deepseek-chat
ablation_KP5_T3_C4_full_tNone_r05,ablation,KP5_T3,C4_full,,5,1,1,1,correct,strict,2.55,deepseek-chat
ablation_KP6_T1_C1_tNone_r01,ablation,KP6_T1,C1,,1,1,0,0,numeric_wrong,,5.62,deepseek-chat
ablation_KP6_T1_C1_tNone_r02,ablation,KP6_T1,C1,,2,1,0,0,numeric_wrong,,6.26,deepseek-chat
ablation_KP6_T1_C1_tNone_r03,ablation,KP6_T1,C1,,3,1,0,0,numeric_wrong,,7.6,deepseek-chat
ablation_KP6_T1_C1_tNone_r04,ablation,KP6_T1,C1,,4,0,0,0,code_error,,8.35,deepseek-chat
ablation_KP6_T1_C1_tNone_r05,ablation,KP6_T1,C1,,5,1,0,0,numeric_wrong,,6.98,deepseek-chat
ablation_KP6_T1_contract_only_tNone_r01,ablation,KP6_T1,contract_only,,1,1,0,0,numeric_wrong,,15.34,deepseek-chat
ablation_KP6_T1_contract_only_tNone_r02,ablation,KP6_T1,contract_only,,2,1,0,0,numeric_wrong,,9.23,deepseek-chat
ablation_KP6_T1_contract_only_tNone_r03,ablation,KP6_T1,contract_only,,3,1,0,0,numeric_wrong,,9.53,deepseek-chat
ablation_KP6_T1_contract_only_tNone_r04,ablation,KP6_T1,contract_only,,4,1,0,0,numeric_wrong,,11.66,deepseek-chat
ablation_KP6_T1_contract_only_tNone_r05,ablation,KP6_T1,contract_only,,5,0,0,0,code_error,,16.6,deepseek-chat
ablation_KP6_T1_minus_scaffold_tNone_r01,ablation,KP6_T1,minus_scaffold,,1,1,0,0,numeric_wrong,,5.49,deepseek-chat
ablation_KP6_T1_minus_scaffold_tNone_r02,ablation,KP6_T1,minus_scaffold,,2,1,0,0,numeric_wrong,,11.9,deepseek-chat
ablation_KP6_T1_minus_scaffold_tNone_r03,ablation,KP6_T1,minus_scaffold,,3,1,0,0,numeric_wrong,,10.63,deepseek-chat
ablation_KP6_T1_minus_scaffold_tNone_r04,ablation,KP6_T1,minus_scaffold,,4,1,0,0,numeric_wrong,,4.08,deepseek-chat
ablation_KP6_T1_minus_scaffold_tNone_r05,ablation,KP6_T1,minus_scaffold,,5,1,0,0,numeric_wrong,,7.74,deepseek-chat
ablation_KP6_T1_minus_convention_tNone_r01,ablation,KP6_T1,minus_convention,,1,1,0,0,numeric_wrong,,8.61,deepseek-chat
ablation_KP6_T1_minus_convention_tNone_r02,ablation,KP6_T1,minus_convention,,2,1,0,0,numeric_wrong,,13.72,deepseek-chat
ablation_KP6_T1_minus_convention_tNone_r03,ablation,KP6_T1,minus_convention,,3,1,0,0,numeric_wrong,,6.12,deepseek-chat
ablation_KP6_T1_minus_convention_tNone_r04,ablation,KP6_T1,minus_convention,,4,1,0,0,numeric_wrong,,9.45,deepseek-chat
ablation_KP6_T1_minus_convention_tNone_r05,ablation,KP6_T1,minus_convention,,5,1,0,0,numeric_wrong,,7.22,deepseek-chat
ablation_KP6_T1_C4_full_tNone_r01,ablation,KP6_T1,C4_full,,1,1,0,0,numeric_wrong,,10.71,deepseek-chat
ablation_KP6_T1_C4_full_tNone_r02,ablation,KP6_T1,C4_full,,2,1,0,0,numeric_wrong,,4.04,deepseek-chat
ablation_KP6_T1_C4_full_tNone_r03,ablation,KP6_T1,C4_full,,3,0,0,0,code_error,,5.35,deepseek-chat
ablation_KP6_T1_C4_full_tNone_r04,ablation,KP6_T1,C4_full,,4,1,0,0,numeric_wrong,,5.65,deepseek-chat
ablation_KP6_T1_C4_full_tNone_r05,ablation,KP6_T1,C4_full,,5,1,0,0,numeric_wrong,,4.73,deepseek-chat
temperature_KP1_T1_C1_t0.0_r01,temperature,KP1_T1,C1,0.0,1,1,0,0,numeric_wrong,,15.99,deepseek-chat
temperature_KP1_T1_C1_t0.0_r02,temperature,KP1_T1,C1,0.0,2,1,1,1,correct,,12.15,deepseek-chat
temperature_KP1_T1_C1_t0.0_r03,temperature,KP1_T1,C1,0.0,3,1,1,1,correct,,13.41,deepseek-chat
temperature_KP1_T1_C1_t0.0_r04,temperature,KP1_T1,C1,0.0,4,1,1,1,correct,,12.14,deepseek-chat
temperature_KP1_T1_C1_t0.0_r05,temperature,KP1_T1,C1,0.0,5,1,1,1,correct,,11.96,deepseek-chat
temperature_KP1_T1_C1_t0.5_r01,temperature,KP1_T1,C1,0.5,1,1,1,1,correct,,7.36,deepseek-chat
temperature_KP1_T1_C1_t0.5_r02,temperature,KP1_T1,C1,0.5,2,1,0,0,numeric_wrong,,7.83,deepseek-chat
temperature_KP1_T1_C1_t0.5_r03,temperature,KP1_T1,C1,0.5,3,1,0,0,numeric_wrong,,7.34,deepseek-chat
temperature_KP1_T1_C1_t0.5_r04,temperature,KP1_T1,C1,0.5,4,1,1,1,correct,,12.1,deepseek-chat
temperature_KP1_T1_C1_t0.5_r05,temperature,KP1_T1,C1,0.5,5,1,1,1,correct,,12.54,deepseek-chat
temperature_KP1_T1_C1_t1.0_r01,temperature,KP1_T1,C1,1.0,1,1,1,1,correct,,11.97,deepseek-chat
temperature_KP1_T1_C1_t1.0_r02,temperature,KP1_T1,C1,1.0,2,1,1,1,correct,,11.64,deepseek-chat
temperature_KP1_T1_C1_t1.0_r03,temperature,KP1_T1,C1,1.0,3,1,0,0,numeric_wrong,,7.38,deepseek-chat
temperature_KP1_T1_C1_t1.0_r04,temperature,KP1_T1,C1,1.0,4,1,0,0,numeric_wrong,,9.72,deepseek-chat
temperature_KP1_T1_C1_t1.0_r05,temperature,KP1_T1,C1,1.0,5,1,0,0,numeric_wrong,,7.95,deepseek-chat
temperature_KP1_T1_C4_full_t0.0_r01,temperature,KP1_T1,C4_full,0.0,1,1,1,1,correct,,2.91,deepseek-chat
temperature_KP1_T1_C4_full_t0.0_r02,temperature,KP1_T1,C4_full,0.0,2,1,1,1,correct,,3.41,deepseek-chat
temperature_KP1_T1_C4_full_t0.0_r03,temperature,KP1_T1,C4_full,0.0,3,1,1,1,correct,,3.19,deepseek-chat
temperature_KP1_T1_C4_full_t0.0_r04,temperature,KP1_T1,C4_full,0.0,4,1,1,1,correct,,2.94,deepseek-chat
temperature_KP1_T1_C4_full_t0.0_r05,temperature,KP1_T1,C4_full,0.0,5,1,1,1,correct,,2.91,deepseek-chat
temperature_KP1_T1_C4_full_t0.5_r01,temperature,KP1_T1,C4_full,0.5,1,1,1,1,correct,,4.14,deepseek-chat
temperature_KP1_T1_C4_full_t0.5_r02,temperature,KP1_T1,C4_full,0.5,2,1,1,1,correct,,3.6,deepseek-chat
temperature_KP1_T1_C4_full_t0.5_r03,temperature,KP1_T1,C4_full,0.5,3,1,1,1,correct,,2.71,deepseek-chat
temperature_KP1_T1_C4_full_t0.5_r04,temperature,KP1_T1,C4_full,0.5,4,1,1,1,correct,,3.05,deepseek-chat
temperature_KP1_T1_C4_full_t0.5_r05,temperature,KP1_T1,C4_full,0.5,5,1,1,1,correct,,2.8,deepseek-chat
temperature_KP1_T1_C4_full_t1.0_r01,temperature,KP1_T1,C4_full,1.0,1,1,1,1,correct,,3.58,deepseek-chat
temperature_KP1_T1_C4_full_t1.0_r02,temperature,KP1_T1,C4_full,1.0,2,1,1,1,correct,,2.71,deepseek-chat
temperature_KP1_T1_C4_full_t1.0_r03,temperature,KP1_T1,C4_full,1.0,3,1,1,1,correct,,2.84,deepseek-chat
temperature_KP1_T1_C4_full_t1.0_r04,temperature,KP1_T1,C4_full,1.0,4,1,1,1,correct,,2.99,deepseek-chat
temperature_KP1_T1_C4_full_t1.0_r05,temperature,KP1_T1,C4_full,1.0,5,1,1,1,correct,,3.47,deepseek-chat
temperature_KP2_T3_C1_t0.0_r01,temperature,KP2_T3,C1,0.0,1,1,0,0,numeric_wrong,wrong,3.19,deepseek-chat
temperature_KP2_T3_C1_t0.0_r02,temperature,KP2_T3,C1,0.0,2,1,1,1,correct,strict,3.96,deepseek-chat
temperature_KP2_T3_C1_t0.0_r03,temperature,KP2_T3,C1,0.0,3,1,0,0,numeric_wrong,wrong,3.29,deepseek-chat
temperature_KP2_T3_C1_t0.0_r04,temperature,KP2_T3,C1,0.0,4,1,0,0,numeric_wrong,wrong,2.93,deepseek-chat
temperature_KP2_T3_C1_t0.0_r05,temperature,KP2_T3,C1,0.0,5,1,0,0,numeric_wrong,wrong,2.8,deepseek-chat
temperature_KP2_T3_C1_t0.5_r01,temperature,KP2_T3,C1,0.5,1,1,1,1,correct,strict,3.29,deepseek-chat
temperature_KP2_T3_C1_t0.5_r02,temperature,KP2_T3,C1,0.5,2,1,1,1,correct,strict,2.92,deepseek-chat
temperature_KP2_T3_C1_t0.5_r03,temperature,KP2_T3,C1,0.5,3,1,0,0,numeric_wrong,wrong,3.86,deepseek-chat
temperature_KP2_T3_C1_t0.5_r04,temperature,KP2_T3,C1,0.5,4,1,0,0,numeric_wrong,wrong,3.59,deepseek-chat
temperature_KP2_T3_C1_t0.5_r05,temperature,KP2_T3,C1,0.5,5,1,0,0,numeric_wrong,wrong,2.67,deepseek-chat
temperature_KP2_T3_C1_t1.0_r01,temperature,KP2_T3,C1,1.0,1,1,1,1,correct,strict,3.16,deepseek-chat
temperature_KP2_T3_C1_t1.0_r02,temperature,KP2_T3,C1,1.0,2,1,1,1,correct,strict,3.12,deepseek-chat
temperature_KP2_T3_C1_t1.0_r03,temperature,KP2_T3,C1,1.0,3,1,1,1,correct,strict,3.21,deepseek-chat
temperature_KP2_T3_C1_t1.0_r04,temperature,KP2_T3,C1,1.0,4,1,0,0,numeric_wrong,wrong,3.29,deepseek-chat
temperature_KP2_T3_C1_t1.0_r05,temperature,KP2_T3,C1,1.0,5,1,1,1,correct,strict,2.63,deepseek-chat
temperature_KP2_T3_C4_full_t0.0_r01,temperature,KP2_T3,C4_full,0.0,1,1,1,1,correct,strict,1.77,deepseek-chat
temperature_KP2_T3_C4_full_t0.0_r02,temperature,KP2_T3,C4_full,0.0,2,1,1,1,correct,strict,2.1,deepseek-chat
temperature_KP2_T3_C4_full_t0.0_r03,temperature,KP2_T3,C4_full,0.0,3,1,1,1,correct,strict,1.93,deepseek-chat
temperature_KP2_T3_C4_full_t0.0_r04,temperature,KP2_T3,C4_full,0.0,4,1,1,1,correct,strict,2.09,deepseek-chat
temperature_KP2_T3_C4_full_t0.0_r05,temperature,KP2_T3,C4_full,0.0,5,1,1,1,correct,strict,2.01,deepseek-chat
temperature_KP2_T3_C4_full_t0.5_r01,temperature,KP2_T3,C4_full,0.5,1,1,1,1,correct,strict,1.61,deepseek-chat
temperature_KP2_T3_C4_full_t0.5_r02,temperature,KP2_T3,C4_full,0.5,2,1,1,1,correct,strict,2.03,deepseek-chat
temperature_KP2_T3_C4_full_t0.5_r03,temperature,KP2_T3,C4_full,0.5,3,1,1,1,correct,strict,1.9,deepseek-chat
temperature_KP2_T3_C4_full_t0.5_r04,temperature,KP2_T3,C4_full,0.5,4,1,1,1,correct,strict,1.99,deepseek-chat
temperature_KP2_T3_C4_full_t0.5_r05,temperature,KP2_T3,C4_full,0.5,5,1,1,1,correct,strict,2.43,deepseek-chat
temperature_KP2_T3_C4_full_t1.0_r01,temperature,KP2_T3,C4_full,1.0,1,1,1,1,correct,strict,1.67,deepseek-chat
